,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,DOB,GENDER,ID,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE
145,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,1,1,0,right,R
146,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,2,2,0,left,G
147,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,3,3,0,right,R
148,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,4,4,0,left,G
149,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,5,5,0,right,R
150,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,6,6,0,left,G
151,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,7,7,0,right,R
152,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,8,8,0,left,G
153,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,9,9,0,right,R
154,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,10,10,0,left,G
155,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,11,11,0,right,R
156,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,12,12,0,left,G
157,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,13,13,0,right,R
158,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,14,14,0,left,G
159,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,15,15,0,right,R
160,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,0,0,0,left,R
161,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,1,1,0,right,G
162,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,2,1,1,right,G
163,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,3,2,0,left,R
164,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,4,3,0,right,G
165,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,5,3,1,right,G
166,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,6,4,0,left,R
167,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,7,5,0,right,G
168,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,8,5,1,right,G
169,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,9,6,0,left,R
170,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,10,7,0,right,G
171,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,11,7,1,right,G
172,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,12,8,0,left,R
173,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,13,9,0,right,G
174,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,14,9,1,right,G
175,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,15,10,0,left,R
176,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,16,11,0,right,G
177,5.41,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",12/8/13,FEMALE,13.0,17,11,1,right,G
178,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,0,0,0,left,R
179,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,1,0,1,left,B
180,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,2,1,0,left,R
181,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,3,1,1,left,B
182,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,4,2,0,right,G
183,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,5,2,1,right,B
184,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,6,3,0,right,G
185,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,7,3,1,right,B
186,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,8,4,0,left,R
187,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,9,4,1,left,B
188,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,10,5,0,right,G
189,5.41,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",12/8/13,FEMALE,13.0,11,5,1,right,B
190,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,0,0,0,left,R
191,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,1,1,0,right,G
192,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,2,2,0,left,R
193,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,3,3,0,right,G
194,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,4,4,0,left,R
195,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,5,5,0,right,G
196,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,6,6,0,left,R
197,3.948,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/",5/26/15,FEMALE,17.0,7,6,1,left,R
198,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,0,0,0,left,R
199,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,1,1,0,right,G
200,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,2,1,1,right,G
201,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,3,2,0,left,R
202,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,4,3,0,right,G
203,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,5,3,1,right,G
204,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,6,4,0,left,R
205,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,7,4,1,left,R
206,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,8,5,0,right,G
207,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,9,5,1,right,G
208,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,10,6,0,left,R
209,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,11,7,0,right,G
210,3.948,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG",5/26/15,FEMALE,17.0,12,7,1,right,G
211,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,0,0,0,right,G
212,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,1,0,1,right,B
213,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,2,0,2,right,B
214,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,3,1,0,left,R
215,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,4,1,1,left,B
216,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,5,2,0,left,R
217,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,6,2,1,left,B
218,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,7,3,0,right,G
219,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,8,3,1,right,B
220,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,9,4,0,left,R
221,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,10,4,1,left,R
222,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,11,5,0,right,G
223,3.948,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",5/26/15,FEMALE,17.0,12,5,1,right,B
224,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,0,0,0,left,R
225,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,1,1,0,right,G
226,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,2,2,0,left,R
227,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,3,3,0,right,G
228,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,4,4,0,left,R
229,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,5,5,0,right,G
230,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,6,6,0,left,R
231,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,7,7,0,right,G
232,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,8,8,0,left,R
233,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,9,8,1,left,R
234,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,10,9,0,right,G
235,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,11,9,1,right,G
236,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,12,10,0,left,R
237,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,13,10,1,left,R
238,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,14,11,0,right,G
239,4.586,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",10/5/14,FEMALE,18.0,15,11,1,right,G
240,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,0,0,0,left,R
241,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,1,1,0,right,G
242,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,2,2,0,left,R
243,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,3,3,0,right,G
244,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,4,4,0,left,R
245,4.586,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G",10/5/14,FEMALE,18.0,5,5,0,right,G
246,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,0,0,0,left,G
247,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,1,0,1,left,R
248,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,2,0,0,right,B
249,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,3,1,0,right,G
250,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,4,2,0,left,R
251,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,5,2,0,right,G
252,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,6,3,0,left,R
253,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,7,4,0,right,G
254,4.586,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",10/5/14,FEMALE,18.0,8,4,1,right,B
255,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,0,0,0,right,R
256,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,1,1,0,left,G
257,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,2,2,0,left,G
258,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,3,3,0,right,R
259,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,4,4,0,left,G
260,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,5,5,0,right,R
261,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,6,6,0,left,G
262,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,7,7,0,right,R
263,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,8,8,0,right,R
264,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,9,8,1,right,R
265,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,10,9,0,left,G
266,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,11,9,0,right,R
267,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,12,9,1,right,R
268,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,13,9,2,right,R
269,3.9210000000000003,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",6/5/15,FEMALE,19.0,14,10,0,left,G
270,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,0,0,0,left,G
271,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,1,1,0,right,R
272,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,2,1,1,right,R
273,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,3,2,0,right,R
274,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,4,3,0,left,G
275,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,5,3,1,left,G
276,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,6,3,2,left,G
277,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,7,4,0,right,R
278,3.9210000000000003,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/",6/5/15,FEMALE,19.0,8,5,0,left,G
279,3.9210000000000003,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",6/5/15,FEMALE,19.0,0,0,0,left,R
280,3.9210000000000003,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",6/5/15,FEMALE,19.0,1,1,0,right,B
281,3.9210000000000003,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",6/5/15,FEMALE,19.0,2,2,0,left,R
282,3.9210000000000003,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",6/5/15,FEMALE,19.0,3,2,1,left,R
283,3.9210000000000003,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",6/5/15,FEMALE,19.0,4,2,0,right,G
